Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Midmarket,Mexico,Carretera,None,$523.00,$3.00,$43.38,"$22,687.74",$0.00,"$22,687.74","$17,617.27","$5,070.47",04/15/2016,4,April,2016
Enterprise,France,Carretera,None,$80.00,$7.00,$25.54,"$2,043.20",$0.00,"$2,043.20","$1,458.05",$585.15,07/15/2016,7,July,2016
Small Business,France,Paseo,None,$933.00,$3.00,$32.70,"$30,509.10",$0.00,"$30,509.10","$25,167.88","$5,341.22",01/11/2016,1,January,2016
Enterprise,France,Montana,None,$984.00,$7.00,$88.98,"$87,556.32",$0.00,"$87,556.32","$63,780.73","$23,775.59",04/02/2014,4,April,2014
Small Business,Mexico,Carretera,None,$112.00,$5.00,$49.24,"$5,514.88",$0.00,"$5,514.88","$4,428.63","$1,086.25",06/18/2016,6,June,2016
Small Business,Canada,Montana,None,$609.00,$7.00,$34.64,"$21,095.76",$0.00,"$21,095.76","$15,930.15","$5,165.61",08/03/2016,8,August,2016
Government,Canada,Paseo,None,$136.00,$3.00,$63.04,"$8,573.44",$0.00,"$8,573.44","$5,783.12","$2,790.32",08/18/2018,8,August,2018
Enterprise,Germany,Paseo,None,$353.00,$7.00,$22.79,"$8,044.87",$0.00,"$8,044.87","$6,290.69","$1,754.18",09/14/2014,9,September,2014
Government,Canada,Carretera,None,$110.00,$5.00,$33.35,"$3,668.50",$0.00,"$3,668.50","$3,012.10",$656.40,05/06/2017,5,May,2017
Enterprise,Canada,Paseo,None,$445.00,$5.00,$59.16,"$26,326.20",$0.00,"$26,326.20","$23,487.49","$2,838.71",02/02/2017,2,February,2017
Enterprise,France,Montana,None,$383.00,$5.00,$31.38,"$12,018.54",$0.00,"$12,018.54","$8,581.63","$3,436.91",03/01/2016,3,March,2016
Government,France,Carretera,None,$835.00,$5.00,$71.12,"$59,385.20",$0.00,"$59,385.20","$36,779.73","$22,605.47",02/08/2015,2,February,2015
Government,Germany,Carretera,None,$460.00,$3.00,$54.23,"$24,945.80",$0.00,"$24,945.80","$22,361.20","$2,584.60",09/10/2014,9,September,2014
Enterprise,USA,Montana,None,$333.00,$7.00,$79.48,"$26,466.84",$0.00,"$26,466.84","$20,833.16","$5,633.68",06/20/2015,6,June,2015
Midmarket,Germany,Carretera,None,$515.00,$5.00,$95.34,"$49,100.10",$0.00,"$49,100.10","$43,401.30","$5,698.80",11/18/2014,11,November,2014
Small Business,Germany,Carretera,None,$129.00,$7.00,$20.42,"$2,634.18",$0.00,"$2,634.18","$1,662.56",$971.62,12/20/2014,12,December,2014
Government,Mexico,Montana,None,$741.00,$3.00,$40.12,"$29,728.92",$0.00,"$29,728.92","$20,887.84","$8,841.08",01/11/2018,1,January,2018
Small Business,Mexico,Carretera,None,$833.00,$7.00,$38.76,"$32,287.08",$0.00,"$32,287.08","$20,669.58","$11,617.50",03/18/2016,3,March,2016
Midmarket,Germany,Carretera,None,$126.00,$7.00,$23.61,"$2,974.86",$0.00,"$2,974.86","$2,530.57",$444.29,07/27/2018,7,July,2018
Midmarket,Germany,Montana,None,$782.00,$5.00,$82.93,"$64,851.26",$0.00,"$64,851.26","$56,038.16","$8,813.10",07/16/2015,7,July,2015
Midmarket,Germany,Paseo,None,$954.00,$5.00,$78.39,"$74,784.06",$0.00,"$74,784.06","$56,117.47","$18,666.59",05/05/2015,5,May,2015
Government,Canada,Montana,None,$843.00,$3.00,$53.60,"$45,184.80",$0.00,"$45,184.80","$29,640.41","$15,544.39",03/07/2017,3,March,2017
Midmarket,Mexico,Carretera,None,$589.00,$7.00,$58.40,"$34,397.60",$0.00,"$34,397.60","$21,950.34","$12,447.26",07/22/2018,7,July,2018
Government,Germany,Montana,None,$410.00,$3.00,$15.36,"$6,297.60",$0.00,"$6,297.60","$4,889.77","$1,407.83",05/02/2018,5,May,2018
Midmarket,France,Carretera,None,$126.00,$3.00,$60.00,"$7,560.00",$0.00,"$7,560.00","$5,684.46","$1,875.54",06/11/2018,6,June,2018
Small Business,France,Carretera,None,$558.00,$3.00,$81.22,"$45,320.76",$0.00,"$45,320.76","$36,638.97","$8,681.79",03/13/2017,3,March,2017
Small Business,Canada,Montana,None,$213.00,$5.00,$61.64,"$13,129.32",$0.00,"$13,129.32","$9,079.74","$4,049.58",06/20/2018,6,June,2018
Enterprise,Canada,Carretera,None,$58.00,$5.00,$33.88,"$1,965.04",$0.00,"$1,965.04","$1,416.22",$548.82,07/24/2018,7,July,2018
Small Business,USA,Paseo,None,$224.00,$7.00,$70.08,"$15,697.92",$0.00,"$15,697.92","$9,519.35","$6,178.57",08/28/2018,8,August,2018
Enterprise,USA,Carretera,None,$511.00,$7.00,$42.53,"$21,732.83",$0.00,"$21,732.83","$17,017.74","$4,715.09",02/16/2018,2,February,2018
Small Business,USA,Montana,None,$356.00,$7.00,$59.04,"$21,018.24",$0.00,"$21,018.24","$15,279.06","$5,739.18",02/14/2015,2,February,2015
Government,Canada,Paseo,None,$637.00,$5.00,$53.88,"$34,321.56",$0.00,"$34,321.56","$30,063.26","$4,258.30",06/07/2016,6,June,2016
Small Business,Canada,Paseo,None,$294.00,$5.00,$44.31,"$13,027.14",$0.00,"$13,027.14","$10,324.48","$2,702.66",08/07/2015,8,August,2015
Enterprise,Canada,Carretera,None,$171.00,$3.00,$74.70,"$12,773.70",$0.00,"$12,773.70","$9,192.06","$3,581.64",05/12/2018,5,May,2018
Enterprise,France,Montana,None,$234.00,$5.00,$89.55,"$20,954.70",$0.00,"$20,954.70","$14,229.85","$6,724.85",01/12/2014,1,January,2014
Midmarket,Canada,Carretera,None,$81.00,$3.00,$10.47,$848.07,$0.00,$848.07,$739.17,$108.90,11/20/2014,11,November,2014
Government,France,Carretera,None,$811.00,$3.00,$94.03,"$76,258.33",$0.00,"$76,258.33","$46,127.10","$30,131.23",01/01/2017,1,January,2017
Small Business,USA,Montana,None,$618.00,$5.00,$56.04,"$34,632.72",$0.00,"$34,632.72","$24,176.19","$10,456.53",10/23/2015,10,October,2015
Midmarket,USA,Montana,None,$359.00,$3.00,$73.07,"$26,232.13",$0.00,"$26,232.13","$23,164.33","$3,067.80",09/06/2017,9,September,2017
Small Business,USA,Carretera,None,$421.00,$3.00,$87.01,"$36,631.21",$0.00,"$36,631.21","$29,166.13","$7,465.08",04/08/2017,4,April,2017
Small Business,Germany,Paseo,None,$705.00,$7.00,$52.04,"$36,688.20",$0.00,"$36,688.20","$27,876.27","$8,811.93",12/27/2014,12,December,2014
Midmarket,Germany,Carretera,None,$879.00,$3.00,$85.15,"$74,846.85",$0.00,"$74,846.85","$49,478.29","$25,368.56",10/13/2015,10,October,2015
Midmarket,Mexico,Paseo,None,$645.00,$5.00,$25.99,"$16,763.55",$0.00,"$16,763.55","$14,249.23","$2,514.32",01/05/2016,1,January,2016
Midmarket,Mexico,Carretera,None,$105.00,$5.00,$24.33,"$2,554.65",$0.00,"$2,554.65","$1,689.29",$865.36,11/24/2015,11,November,2015
Midmarket,Mexico,Montana,None,$840.00,$3.00,$69.17,"$58,102.80",$0.00,"$58,102.80","$39,188.95","$18,913.85",08/10/2017,8,August,2017
Midmarket,Germany,Paseo,None,$322.00,$7.00,$88.31,"$28,435.82",$0.00,"$28,435.82","$18,698.13","$9,737.69",02/27/2018,2,February,2018
Small Business,Germany,Montana,None,$513.00,$5.00,$90.32,"$46,334.16",$0.00,"$46,334.16","$29,998.81","$16,335.35",12/14/2017,12,December,2017
Midmarket,Mexico,Montana,None,$727.00,$5.00,$67.94,"$49,392.38",$0.00,"$49,392.38","$43,761.34","$5,631.04",02/24/2015,2,February,2015
Government,Mexico,Montana,None,$505.00,$7.00,$57.29,"$28,931.45",$0.00,"$28,931.45","$22,584.16","$6,347.29",01/09/2014,1,January,2014
Enterprise,Canada,Montana,None,$719.00,$3.00,$39.83,"$28,637.77",$0.00,"$28,637.77","$22,662.53","$5,975.24",01/17/2015,1,January,2015
Midmarket,Mexico,Montana,None,$298.00,$5.00,$98.20,"$29,263.60",$0.00,"$29,263.60","$25,936.26","$3,327.34",09/03/2016,9,September,2016
Midmarket,Canada,Carretera,None,$747.00,$3.00,$38.77,"$28,961.19",$0.00,"$28,961.19","$19,380.03","$9,581.16",01/12/2018,1,January,2018
Small Business,France,Paseo,None,$127.00,$3.00,$76.98,"$9,776.46",$0.00,"$9,776.46","$5,883.23","$3,893.23",06/12/2018,6,June,2018
Midmarket,Germany,Carretera,None,$583.00,$3.00,$57.88,"$33,744.04",$0.00,"$33,744.04","$26,309.05","$7,434.99",12/11/2017,12,December,2017
Midmarket,Mexico,Carretera,None,$157.00,$3.00,$64.77,"$10,168.89",$0.00,"$10,168.89","$7,650.60","$2,518.29",07/22/2015,7,July,2015
Midmarket,Germany,Carretera,None,$322.00,$5.00,$45.41,"$14,622.02",$0.00,"$14,622.02","$10,868.48","$3,753.54",04/04/2014,4,April,2014
Small Business,Germany,Montana,None,$813.00,$7.00,$96.83,"$78,722.79",$0.00,"$78,722.79","$48,695.09","$30,027.70",05/08/2016,5,May,2016
Midmarket,Germany,Carretera,None,$64.00,$5.00,$61.45,"$3,932.80",$0.00,"$3,932.80","$2,895.84","$1,036.96",04/10/2017,4,April,2017
Enterprise,France,Paseo,None,$419.00,$7.00,$94.40,"$39,553.60",$0.00,"$39,553.60","$27,144.36","$12,409.24",04/14/2015,4,April,2015
Small Business,USA,Carretera,None,$353.00,$3.00,$10.68,"$3,770.04",$0.00,"$3,770.04","$2,572.56","$1,197.48",10/01/2014,10,October,2014
Enterprise,Mexico,Montana,None,$721.00,$7.00,$61.54,"$44,370.34",$0.00,"$44,370.34","$29,582.35","$14,787.99",01/12/2015,1,January,2015
Small Business,USA,Paseo,None,$254.00,$3.00,$74.55,"$18,935.70",$0.00,"$18,935.70","$13,250.42","$5,685.28",06/05/2014,6,June,2014
Midmarket,USA,Paseo,None,$162.00,$5.00,$77.06,"$12,483.72",$0.00,"$12,483.72","$8,812.76","$3,670.96",10/14/2015,10,October,2015
Enterprise,USA,Paseo,None,$729.00,$5.00,$91.45,"$66,667.05",$0.00,"$66,667.05","$46,175.78","$20,491.27",10/04/2015,10,October,2015
Small Business,Germany,Paseo,None,$914.00,$7.00,$10.40,"$9,505.60",$0.00,"$9,505.60","$8,494.45","$1,011.15",07/28/2017,7,July,2017
Government,Canada,Carretera,None,$302.00,$3.00,$10.03,"$3,029.06",$0.00,"$3,029.06","$2,665.03",$364.03,07/17/2015,7,July,2015
Midmarket,Germany,Montana,None,$490.00,$3.00,$52.50,"$25,725.00",$0.00,"$25,725.00","$19,868.78","$5,856.22",08/26/2015,8,August,2015
Small Business,Germany,Paseo,None,$235.00,$7.00,$12.64,"$2,970.40",$0.00,"$2,970.40","$2,656.48",$313.92,07/22/2017,7,July,2017
Government,USA,Paseo,None,$908.00,$3.00,$97.71,"$88,720.68",$0.00,"$88,720.68","$79,614.34","$9,106.34",06/26/2017,6,June,2017
Small Business,Germany,Montana,None,$276.00,$3.00,$29.99,"$8,277.24",$0.00,"$8,277.24","$5,850.20","$2,427.04",12/13/2018,12,December,2018
Government,USA,Carretera,None,$577.00,$3.00,$52.54,"$30,315.58",$0.00,"$30,315.58","$22,238.18","$8,077.40",08/03/2018,8,August,2018
Midmarket,Canada,Paseo,None,$717.00,$5.00,$15.50,"$11,113.50",$0.00,"$11,113.50","$9,865.66","$1,247.84",03/11/2017,3,March,2017
Enterprise,Mexico,Carretera,None,$403.00,$5.00,$56.98,"$22,962.94",$0.00,"$22,962.94","$17,970.52","$4,992.42",09/11/2016,9,September,2016
Government,USA,Carretera,None,$672.00,$5.00,$44.20,"$29,702.40",$0.00,"$29,702.40","$19,718.79","$9,983.61",03/05/2014,3,March,2014
Small Business,Canada,Carretera,None,$50.00,$3.00,$14.02,$701.00,$0.00,$701.00,$565.58,$135.42,04/06/2017,4,April,2017
Midmarket,Mexico,Carretera,None,$602.00,$5.00,$40.16,"$24,176.32",$0.00,"$24,176.32","$15,998.05","$8,178.27",10/04/2018,10,October,2018
Government,France,Paseo,None,$609.00,$3.00,$45.23,"$27,545.07",$0.00,"$27,545.07","$19,331.33","$8,213.74",06/10/2015,6,June,2015
Small Business,USA,Paseo,None,$976.00,$3.00,$99.09,"$96,711.84",$0.00,"$96,711.84","$64,629.43","$32,082.41",12/10/2017,12,December,2017
Small Business,USA,Carretera,None,$469.00,$7.00,$28.71,"$13,464.99",$0.00,"$13,464.99","$9,068.59","$4,396.40",12/12/2017,12,December,2017
Small Business,France,Carretera,None,$669.00,$3.00,$59.03,"$39,491.07",$0.00,"$39,491.07","$23,749.80","$15,741.27",08/22/2018,8,August,2018
Government,France,Montana,None,$210.00,$5.00,$98.86,"$20,760.60",$0.00,"$20,760.60","$17,941.57","$2,819.03",03/23/2018,3,March,2018
Government,USA,Montana,None,$210.00,$5.00,$81.28,"$17,068.80",$0.00,"$17,068.80","$11,756.94","$5,311.86",10/18/2016,10,October,2016
Government,France,Montana,None,$920.00,$3.00,$99.40,"$91,448.00",$0.00,"$91,448.00","$57,238.43","$34,209.57",06/15/2018,6,June,2018
Enterprise,Germany,Paseo,None,$177.00,$5.00,$97.15,"$17,195.55",$0.00,"$17,195.55","$10,766.07","$6,429.48",05/23/2018,5,May,2018
Government,Mexico,Montana,None,$771.00,$3.00,$54.06,"$41,680.26",$0.00,"$41,680.26","$31,960.65","$9,719.61",05/23/2018,5,May,2018
Government,Mexico,Paseo,None,$200.00,$7.00,$72.67,"$14,534.00",$0.00,"$14,534.00","$13,049.73","$1,484.27",05/18/2015,5,May,2015
Government,Mexico,Paseo,None,$493.00,$3.00,$19.94,"$9,830.42",$0.00,"$9,830.42","$6,325.94","$3,504.48",09/03/2017,9,September,2017
Enterprise,Germany,Paseo,None,$816.00,$3.00,$49.70,"$40,555.20",$0.00,"$40,555.20","$25,545.17","$15,010.03",07/03/2017,7,July,2017
Government,France,Paseo,None,$520.00,$7.00,$82.81,"$43,061.20",$0.00,"$43,061.20","$31,498.89","$11,562.31",12/01/2018,12,December,2018
Small Business,Canada,Montana,None,$512.00,$5.00,$55.48,"$28,405.76",$0.00,"$28,405.76","$21,844.01","$6,561.75",09/17/2016,9,September,2016
Government,France,Carretera,None,$779.00,$7.00,$73.24,"$57,053.96",$0.00,"$57,053.96","$39,271.05","$17,782.91",09/10/2018,9,September,2018
Small Business,USA,Carretera,None,$79.00,$7.00,$77.12,"$6,092.48",$0.00,"$6,092.48","$4,208.42","$1,884.06",06/27/2016,6,June,2016
Small Business,Mexico,Carretera,None,$522.00,$3.00,$32.81,"$17,126.82",$0.00,"$17,126.82","$12,457.07","$4,669.75",06/06/2017,6,June,2017
Small Business,France,Montana,None,$606.00,$3.00,$88.81,"$53,818.86",$0.00,"$53,818.86","$37,363.40","$16,455.46",04/25/2016,4,April,2016
Enterprise,Canada,Carretera,None,$129.00,$7.00,$51.38,"$6,628.02",$0.00,"$6,628.02","$5,796.86",$831.16,08/25/2016,8,August,2016
Enterprise,USA,Montana,None,$88.00,$5.00,$28.92,"$2,544.96",$0.00,"$2,544.96","$1,559.01",$985.95,02/11/2014,2,February,2014
Enterprise,Germany,Montana,None,$289.00,$7.00,$87.89,"$25,400.21",$0.00,"$25,400.21","$17,027.57","$8,372.64",05/14/2016,5,May,2016
Government,Germany,Montana,None,$606.00,$5.00,$47.60,"$28,845.60",$0.00,"$28,845.60","$24,304.32","$4,541.28",01/17/2016,1,January,2016
Small Business,Canada,Carretera,None,$639.00,$7.00,$77.53,"$49,541.67",$0.00,"$49,541.67","$42,119.71","$7,421.96",10/28/2015,10,October,2015
Enterprise,USA,Carretera,None,$386.00,$7.00,$59.32,"$22,897.52",$0.00,"$22,897.52","$14,504.81","$8,392.71",02/07/2017,2,February,2017
Enterprise,Mexico,Carretera,None,$957.00,$5.00,$44.37,"$42,462.09",$0.00,"$42,462.09","$37,881.66","$4,580.43",01/22/2018,1,January,2018
Government,France,Paseo,None,$910.00,$7.00,$82.89,"$75,429.90",$0.00,"$75,429.90","$60,947.85","$14,482.05",06/04/2014,6,June,2014
Enterprise,USA,Montana,None,$849.00,$3.00,$62.60,"$53,147.40",$0.00,"$53,147.40","$36,234.72","$16,912.68",02/11/2016,2,February,2016
Government,Germany,Paseo,None,$329.00,$7.00,$45.15,"$14,854.35",$0.00,"$14,854.35","$10,944.85","$3,909.50",12/19/2015,12,December,2015
Midmarket,Canada,Montana,None,$165.00,$3.00,$19.86,"$3,276.90",$0.00,"$3,276.90","$2,258.25","$1,018.65",04/09/2015,4,April,2015
Enterprise,Canada,Carretera,None,$318.00,$5.00,$90.59,"$28,807.62",$0.00,"$28,807.62","$18,581.11","$10,226.51",05/26/2018,5,May,2018
Midmarket,France,Montana,None,$965.00,$5.00,$13.19,"$12,728.35",$0.00,"$12,728.35","$8,748.87","$3,979.48",07/21/2018,7,July,2018
Government,Canada,Montana,None,$384.00,$3.00,$87.69,"$33,672.96",$0.00,"$33,672.96","$26,063.80","$7,609.16",10/08/2017,10,October,2017
Small Business,Canada,Paseo,None,$361.00,$7.00,$42.40,"$15,306.40",$0.00,"$15,306.40","$12,976.63","$2,329.77",01/20/2016,1,January,2016
Enterprise,USA,Montana,None,$102.00,$3.00,$67.54,"$6,889.08",$0.00,"$6,889.08","$4,884.76","$2,004.32",12/04/2015,12,December,2015
Government,Mexico,Carretera,None,$117.00,$3.00,$93.00,"$10,881.00",$0.00,"$10,881.00","$7,664.25","$3,216.75",11/16/2014,11,November,2014
Small Business,France,Montana,None,$743.00,$5.00,$23.65,"$17,571.95",$0.00,"$17,571.95","$13,010.28","$4,561.67",05/06/2017,5,May,2017
Small Business,USA,Montana,None,$83.00,$3.00,$61.03,"$5,065.49",$0.00,"$5,065.49","$4,018.79","$1,046.70",04/06/2016,4,April,2016
Midmarket,Mexico,Montana,None,$845.00,$7.00,$78.80,"$66,586.00",$0.00,"$66,586.00","$54,965.74","$11,620.26",07/19/2018,7,July,2018
Government,USA,Paseo,None,$867.00,$3.00,$78.18,"$67,782.06",$0.00,"$67,782.06","$47,314.58","$20,467.48",10/02/2016,10,October,2016
Small Business,USA,Montana,None,$435.00,$5.00,$57.31,"$24,929.85",$0.00,"$24,929.85","$19,343.21","$5,586.64",07/11/2018,7,July,2018
Enterprise,Canada,Montana,None,$298.00,$7.00,$66.23,"$19,736.54",$0.00,"$19,736.54","$14,147.31","$5,589.23",08/25/2016,8,August,2016
Enterprise,Mexico,Paseo,None,$160.00,$5.00,$78.18,"$12,508.80",$0.00,"$12,508.80","$10,193.67","$2,315.13",04/18/2014,4,April,2014
Midmarket,France,Paseo,None,$143.00,$3.00,$85.69,"$12,253.67",$0.00,"$12,253.67","$7,957.56","$4,296.11",04/09/2017,4,April,2017
Small Business,France,Paseo,None,$459.00,$3.00,$78.56,"$36,059.04",$0.00,"$36,059.04","$24,414.76","$11,644.28",10/28/2018,10,October,2018
Government,Mexico,Paseo,None,$228.00,$5.00,$41.86,"$9,544.08",$0.00,"$9,544.08","$6,946.35","$2,597.73",05/16/2014,5,May,2014
Enterprise,Canada,Carretera,None,$96.00,$5.00,$99.71,"$9,572.16",$0.00,"$9,572.16","$8,297.38","$1,274.78",05/11/2015,5,May,2015
Small Business,Germany,Carretera,None,$843.00,$7.00,$49.11,"$41,399.73",$0.00,"$41,399.73","$31,960.50","$9,439.23",11/14/2014,11,November,2014
Small Business,USA,Montana,None,$901.00,$5.00,$12.20,"$10,992.20",$0.00,"$10,992.20","$9,778.87","$1,213.33",03/08/2014,3,March,2014
